"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Other","Weight","Value","Text","Image-url","Image-Scale","Image-Rotation"
"Chain Mail","PHB'24","219","","Heavy Armor","","AC 16","","","","55 lb.","75 GP","The wearer has Disadvantage on Dexterity (Stealth) checks. If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet.","https://5e.tools/img/items/XPHB/Chain%20Mail.webp","1","0deg"
"Flail","PHB'24","215","","Weapon (Martial/Melee)","","1d8 Bludgeoning","","Mastery: Sap","","2 lb.","10 GP","<strong>Mastery: Sap.</strong> If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn.","https://5e.tools/img/items/XPHB/Flail.webp","1","0deg"
"Greatsword","PHB'24","215","","Weapon (Martial/Melee)","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","","6 lb.","50 GP","<strong>Heavy.</strong> You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13.<br><strong>Two-Handed.</strong> A Two-Handed weapon requires two hands when you attack with it.<br><strong>Mastery: Graze.</strong> If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier.","https://5e.tools/img/items/XPHB/Greatsword.webp","1.7","125deg"
"Javelin","PHB'24","215","","Weapon (Simple/Melee)","","1d6 Piercing","Thrown (30/120 ft.)","Mastery: Slow","","2 lb.","5 SP","<strong>Thrown.</strong> If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon.<br><strong>Mastery: Slow.</strong> If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet.","https://5e.tools/img/items/XPHB/Javelin.webp","2.1","295deg"
"Longbow","PHB'24","215","","Weapon (Martial/Ranged)","","1d8 Piercing","Heavy, Two‑Handed","Mastery: Slow","Ammunition (Range 150/600 ft.; Arrow)","2 lb.","50 GP","<strong>Range.</strong> A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range.<br><strong>Ammunition.</strong> You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost.<br><strong>Heavy.</strong> You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13.<br><strong>Two-Handed.</strong> A Two-Handed weapon requires two hands when you attack with it.<br><strong>Mastery: Slow.</strong> If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet.","https://5e.tools/img/items/XPHB/Longbow.webp","1.9","110deg"
"Scimitar","PHB'24","215","","Weapon (Martial/Melee)","","1d6 Slashing","Finesse, Light","Mastery: Nick","","3 lb.","25 GP","<strong>Finesse.</strong> When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.<br><strong>Light.</strong> When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative.<br><strong>Mastery: Nick.</strong> When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn.","https://5e.tools/img/items/XPHB/Scimitar.webp","0.7","45deg"
"Shield","PHB'24","219","","Armor (Shield)","","AC +2","","","","6 lb.","10 GP","","https://5e.tools/img/items/XPHB/Shield.webp","1","0deg"
"Shortsword","PHB'24","215","","Weapon (Martial/Melee)","","1d6 Piercing","Finesse, Light","Mastery: Vex","","2 lb.","10 GP","<strong>Finesse.</strong> When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.<br><strong>Light.</strong> When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative.<br><strong>Mastery: Vex.</strong> If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.","https://5e.tools/img/items/XPHB/Shortsword.webp","0.5","30deg"
"Studded Leather Armor","PHB'24","219","","Light Armor","","AC 12 + Dex","","","","13 lb.","45 GP","","https://5e.tools/img/items/XPHB/Studded%20Leather%20Armor.webp","1","0deg"
"Goggles of Night","DMG'24","265","uncommon","Wondrous Item","","","","","","","","While wearing these dark lenses, you have Darkvision out to 60 feet. If you already have Darkvision, wearing the goggles increases its range by 60 feet.","https://5e.tools/img/items/XDMG/Goggles%20of%20Night.webp","1.7","0deg"
"Saddle of the Cavalier","DMG'24","199","uncommon","Wondrous Item","","","","","","","","While in this saddle on a mount, you can't be dismounted against your will if you're conscious, and attack rolls against the mount have disadvantage.","","1","0deg"
"Dice Set","PHB'24","221","","Gaming Set","","","","","","","1 SP","<strong>Ability:</strong> Wisdom.<br><strong>Utilize:</strong> Discern whether someone is cheating (DC 10), or win the game (DC 20).<br><strong>Tool (Gaming Set).</strong> If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.","","1","0deg"
